,pid,hid,freq,activity,seq,start time,end time,duration,zone
0,12052000_12052000_100,12052000_12052000_100,,home,1,1900-01-01 00:00:00,1900-01-01 07:48:38,7:48:38,
1,12052000_12052000_100,12052000_12052000_100,,work,2,1900-01-01 07:48:38,1900-01-01 15:31:17,7:42:39,
2,12052000_12052000_100,12052000_12052000_100,,home,3,1900-01-01 15:31:17,1900-01-02 00:00:00,8:28:43,
3,12052000_12052000_10006,12052000_12052000_10006,,home,1,1900-01-01 00:00:00,1900-01-01 07:22:07,7:22:07,
4,12052000_12052000_10006,12052000_12052000_10006,,work,2,1900-01-01 07:22:07,1900-01-01 15:21:05,7:58:58,
5,12052000_12052000_10006,12052000_12052000_10006,,home,3,1900-01-01 15:21:05,1900-01-02 00:00:00,8:38:55,
6,12052000_12052000_1002,12052000_12052000_1002,,home,1,1900-01-01 00:00:00,1900-01-01 07:34:07,7:34:07,
7,12052000_12052000_1002,12052000_12052000_1002,,work,2,1900-01-01 07:34:07,1900-01-01 16:01:04,8:26:57,
8,12052000_12052000_1002,12052000_12052000_1002,,home,3,1900-01-01 16:01:04,1900-01-02 00:00:00,7:58:56,
9,12052000_12052000_10033,12052000_12052000_10033,,home,1,1900-01-01 00:00:00,1900-01-01 07:33:57,7:33:57,
10,12052000_12052000_10033,12052000_12052000_10033,,work,2,1900-01-01 08:10:20,1900-01-01 08:03:39,"-1 day, 23:53:19",
11,12052000_12052000_10033,12052000_12052000_10033,,work,3,1900-01-01 08:03:39,1900-01-01 15:33:07,7:29:28,
12,12052000_12052000_10033,12052000_12052000_10033,,work,4,1900-01-01 15:33:07,1900-01-01 16:02:23,0:29:16,
13,12052000_12052000_10033,12052000_12052000_10033,,home,5,1900-01-01 16:02:23,1900-01-02 00:00:00,7:57:37,
14,12052000_12052000_10047,12052000_12052000_10047,,home,1,1900-01-01 00:00:00,1900-01-01 07:40:24,7:40:24,
15,12052000_12052000_10047,12052000_12052000_10047,,work,2,1900-01-01 07:40:24,1900-01-01 08:13:20,0:32:56,
16,12052000_12052000_10047,12052000_12052000_10047,,work,3,1900-01-01 08:13:20,1900-01-01 14:52:14,6:38:54,
17,12052000_12052000_10047,12052000_12052000_10047,,work,4,1900-01-01 14:52:14,1900-01-01 15:35:25,0:43:11,
18,12052000_12052000_10047,12052000_12052000_10047,,home,5,1900-01-01 15:35:25,1900-01-02 00:00:00,8:24:35,
19,12052000_12052000_10048,12052000_12052000_10048,,home,1,1900-01-01 00:00:00,1900-01-01 06:58:31,6:58:31,
20,12052000_12052000_10048,12052000_12052000_10048,,work,2,1900-01-01 06:58:31,1900-01-01 15:47:41,8:49:10,
21,12052000_12052000_10048,12052000_12052000_10048,,home,3,1900-01-01 15:47:41,1900-01-02 00:00:00,8:12:19,
22,12052000_12052000_10073,12052000_12052000_10073,,home,1,1900-01-01 00:00:00,1900-01-01 07:01:24,7:01:24,
23,12052000_12052000_10073,12052000_12052000_10073,,work,2,1900-01-01 07:01:24,1900-01-01 15:36:02,8:34:38,
24,12052000_12052000_10073,12052000_12052000_10073,,home,3,1900-01-01 15:36:02,1900-01-02 00:00:00,8:23:58,
25,12052000_12052000_10080,12052000_12052000_10080,,home,1,1900-01-01 00:00:00,1900-01-01 08:16:27,8:16:27,
26,12052000_12052000_10080,12052000_12052000_10080,,work,2,1900-01-01 08:16:27,1900-01-01 16:34:14,8:17:47,
27,12052000_12052000_10080,12052000_12052000_10080,,home,3,1900-01-01 16:34:14,1900-01-02 00:00:00,7:25:46,
28,12052000_12052000_10095,12052000_12052000_10095,,home,1,1900-01-01 00:00:00,1900-01-01 07:09:06,7:09:06,
29,12052000_12052000_10095,12052000_12052000_10095,,work,2,1900-01-01 07:09:06,1900-01-01 16:07:42,8:58:36,
30,12052000_12052000_10095,12052000_12052000_10095,,home,3,1900-01-01 16:07:42,1900-01-02 00:00:00,7:52:18,
