,pid,hid,freq,ozone,dzone,purp,origin activity,destination activity,mode,seq,tst,tet,duration
0,12052000_12052000_100,12052000_12052000_100,,,,work,home,work,drt,1,1900-01-01 07:48:38,1900-01-01 07:48:38,0:00:00
1,12052000_12052000_100,12052000_12052000_100,,,,,work,home,drt,2,1900-01-01 15:31:17,1900-01-01 15:31:17,0:00:00
2,12052000_12052000_10006,12052000_12052000_10006,,,,work,home,work,drt,1,1900-01-01 07:22:07,1900-01-01 07:22:07,0:00:00
3,12052000_12052000_10006,12052000_12052000_10006,,,,,work,home,drt,2,1900-01-01 15:21:05,1900-01-01 15:21:05,0:00:00
4,12052000_12052000_1002,12052000_12052000_1002,,,,work,home,work,drt,1,1900-01-01 07:34:07,1900-01-01 07:34:07,0:00:00
5,12052000_12052000_1002,12052000_12052000_1002,,,,,work,home,drt,2,1900-01-01 16:01:04,1900-01-01 16:01:04,0:00:00
6,12052000_12052000_10033,12052000_12052000_10033,,,,work,home,work,drt,1,1900-01-01 07:33:57,1900-01-01 08:10:20,0:36:23
7,12052000_12052000_10033,12052000_12052000_10033,,,,work,work,work,drt,2,1900-01-01 08:03:39,1900-01-01 08:03:39,0:00:00
8,12052000_12052000_10033,12052000_12052000_10033,,,,work,work,work,drt,3,1900-01-01 15:33:07,1900-01-01 15:33:07,0:00:00
9,12052000_12052000_10033,12052000_12052000_10033,,,,,work,home,drt,4,1900-01-01 16:02:23,1900-01-01 16:02:23,0:00:00
10,12052000_12052000_10047,12052000_12052000_10047,,,,work,home,work,drt,1,1900-01-01 07:40:24,1900-01-01 07:40:24,0:00:00
11,12052000_12052000_10047,12052000_12052000_10047,,,,work,work,work,drt,2,1900-01-01 08:13:20,1900-01-01 08:13:20,0:00:00
12,12052000_12052000_10047,12052000_12052000_10047,,,,work,work,work,drt,3,1900-01-01 14:52:14,1900-01-01 14:52:14,0:00:00
13,12052000_12052000_10047,12052000_12052000_10047,,,,,work,home,drt,4,1900-01-01 15:35:25,1900-01-01 15:35:25,0:00:00
14,12052000_12052000_10048,12052000_12052000_10048,,,,work,home,work,drt,1,1900-01-01 06:58:31,1900-01-01 06:58:31,0:00:00
15,12052000_12052000_10048,12052000_12052000_10048,,,,,work,home,drt,2,1900-01-01 15:47:41,1900-01-01 15:47:41,0:00:00
16,12052000_12052000_10073,12052000_12052000_10073,,,,work,home,work,drt,1,1900-01-01 07:01:24,1900-01-01 07:01:24,0:00:00
17,12052000_12052000_10073,12052000_12052000_10073,,,,,work,home,drt,2,1900-01-01 15:36:02,1900-01-01 15:36:02,0:00:00
18,12052000_12052000_10080,12052000_12052000_10080,,,,work,home,work,drt,1,1900-01-01 08:16:27,1900-01-01 08:16:27,0:00:00
19,12052000_12052000_10080,12052000_12052000_10080,,,,,work,home,drt,2,1900-01-01 16:34:14,1900-01-01 16:34:14,0:00:00
20,12052000_12052000_10095,12052000_12052000_10095,,,,work,home,work,drt,1,1900-01-01 07:09:06,1900-01-01 07:09:06,0:00:00
21,12052000_12052000_10095,12052000_12052000_10095,,,,,work,home,drt,2,1900-01-01 16:07:42,1900-01-01 16:07:42,0:00:00
22,12052000_12052000_10132,12052000_12052000_10132,,,,work,home,work,drt,1,1900-01-01 07:08:45,1900-01-01 07:08:45,0:00:00
23,12052000_12052000_10132,12052000_12052000_10132,,,,,work,home,drt,2,1900-01-01 15:27:57,1900-01-01 15:27:57,0:00:00
24,12052000_12052000_10153,12052000_12052000_10153,,,,work,home,work,drt,1,1900-01-01 06:19:14,1900-01-01 06:19:14,0:00:00
25,12052000_12052000_10153,12052000_12052000_10153,,,,,work,home,drt,2,1900-01-01 15:37:28,1900-01-01 16:23:57,0:46:29
26,12052000_12052000_10170,12052000_12052000_10170,,,,work,home,work,drt,1,1900-01-01 07:42:54,1900-01-01 07:42:54,0:00:00
27,12052000_12052000_10170,12052000_12052000_10170,,,,,work,home,drt,2,1900-01-01 15:17:16,1900-01-01 15:17:16,0:00:00
28,12052000_12052000_1019,12052000_12052000_1019,,,,work,home,work,drt,1,1900-01-01 07:21:55,1900-01-01 07:21:55,0:00:00
