pid,hid,freq,hzone
12052000_12052000_100,12052000_12052000_100,100,
12052000_12052000_10006,12052000_12052000_10006,100,
12052000_12052000_1002,12052000_12052000_1002,100,
12052000_12052000_10033,12052000_12052000_10033,100,
12052000_12052000_10047,12052000_12052000_10047,100,
12052000_12052000_10048,12052000_12052000_10048,100,
12052000_12052000_10073,12052000_12052000_10073,100,
12052000_12052000_10080,12052000_12052000_10080,100,
12052000_12052000_10095,12052000_12052000_10095,100,
12052000_12052000_10132,12052000_12052000_10132,100,
12052000_12052000_10153,12052000_12052000_10153,100,
12052000_12052000_10170,12052000_12052000_10170,100,
12052000_12052000_1019,12052000_12052000_1019,100,
12052000_12052000_10197,12052000_12052000_10197,100,
12052000_12052000_10218,12052000_12052000_10218,100,
12052000_12052000_10229,12052000_12052000_10229,100,
12052000_12052000_10241,12052000_12052000_10241,100,
12052000_12052000_10288,12052000_12052000_10288,100,
12052000_12052000_1030,12052000_12052000_1030,100,
12052000_12052000_10305,12052000_12052000_10305,100,
12052000_12052000_10314,12052000_12052000_10314,100,
12052000_12052000_10344,12052000_12052000_10344,100,
12052000_12052000_10349,12052000_12052000_10349,100,
12052000_12052000_10350,12052000_12052000_10350,100,
12052000_12052000_10410,12052000_12052000_10410,100,
12052000_12052000_10430,12052000_12052000_10430,100,
12052000_12052000_10432,12052000_12052000_10432,100,
12052000_12052000_10477,12052000_12052000_10477,100,
12052000_12052000_10531,12052000_12052000_10531,100,
12052000_12052000_10542,12052000_12052000_10542,100,
12052000_12052000_10543,12052000_12052000_10543,100,
12052000_12052000_10546,12052000_12052000_10546,100,
12052000_12052000_10572,12052000_12052000_10572,100,
12052000_12052000_10593,12052000_12052000_10593,100,
12052000_12052000_1060,12052000_12052000_1060,100,
12052000_12052000_10603,12052000_12052000_10603,100,
12052000_12052000_10606,12052000_12052000_10606,100,
12052000_12052000_10631,12052000_12052000_10631,100,
12052000_12052000_10646,12052000_12052000_10646,100,
12052000_12052000_10649,12052000_12052000_10649,100,
12052000_12052000_10659,12052000_12052000_10659,100,
12052000_12052000_10679,12052000_12052000_10679,100,
12052000_12052000_10684,12052000_12052000_10684,100,
12052000_12052000_10699,12052000_12052000_10699,100,
12052000_12052000_10719,12052000_12052000_10719,100,
12052000_12052000_10725,12052000_12052000_10725,100,
12052000_12052000_1079,12052000_12052000_1079,100,
12052000_12052000_10813,12052000_12052000_10813,100,
12052000_12052000_10821,12052000_12052000_10821,100,
12052000_12052000_10826,12052000_12052000_10826,100,
12052000_12052000_10827,12052000_12052000_10827,100,
12052000_12052000_10834,12052000_12052000_10834,100,
12052000_12052000_10869,12052000_12052000_10869,100,
12052000_12052000_10898,12052000_12052000_10898,100,
12052000_12052000_10905,12052000_12052000_10905,100,
12052000_12052000_10936,12052000_12052000_10936,100,
12052000_12052000_10957,12052000_12052000_10957,100,
12052000_12052000_1099,12052000_12052000_1099,100,
12052000_12052000_10994,12052000_12052000_10994,100,
12052000_12052000_10998,12052000_12052000_10998,100,
12052000_12052000_11003,12052000_12052000_11003,100,
12052000_12052000_11027,12052000_12052000_11027,100,
12052000_12052000_11041,12052000_12052000_11041,100,
12052000_12052000_11042,12052000_12052000_11042,100,
12052000_12052000_11081,12052000_12052000_11081,100,
12052000_12052000_11090,12052000_12052000_11090,100,
12052000_12052000_11117,12052000_12052000_11117,100,
12052000_12052000_11118,12052000_12052000_11118,100,
12052000_12052000_1112,12052000_12052000_1112,100,
12052000_12052000_11144,12052000_12052000_11144,100,
12052000_12052000_11148,12052000_12052000_11148,100,
12052000_12052000_11167,12052000_12052000_11167,100,
12052000_12052000_11192,12052000_12052000_11192,100,
12052000_12052000_11206,12052000_12052000_11206,100,
12052000_12052000_11209,12052000_12052000_11209,100,
12052000_12052000_11214,12052000_12052000_11214,100,
12052000_12052000_11221,12052000_12052000_11221,100,
12052000_12052000_11230,12052000_12052000_11230,100,
12052000_12052000_11299,12052000_12052000_11299,100,
12052000_12052000_113,12052000_12052000_113,100,
12052000_12052000_11313,12052000_12052000_11313,100,
12052000_12052000_11331,12052000_12052000_11331,100,
12052000_12052000_11334,12052000_12052000_11334,100,
12052000_12052000_11368,12052000_12052000_11368,100,
12052000_12052000_11375,12052000_12052000_11375,100,
12052000_12052000_11379,12052000_12052000_11379,100,
12052000_12052000_11393,12052000_12052000_11393,100,
12052000_12052000_11400,12052000_12052000_11400,100,
12052000_12052000_11414,12052000_12052000_11414,100,
12052000_12052000_11473,12052000_12052000_11473,100,
12052000_12052000_11478,12052000_12052000_11478,100,
12052000_12052000_11508,12052000_12052000_11508,100,
12052000_12052000_11528,12052000_12052000_11528,100,
12052000_12052000_11536,12052000_12052000_11536,100,
12052000_12052000_11605,12052000_12052000_11605,100,
12052000_12052000_11618,12052000_12052000_11618,100,
12052000_12052000_11681,12052000_12052000_11681,100,
12052000_12052000_11682,12052000_12052000_11682,100,
12052000_12052000_11735,12052000_12052000_11735,100,
12052000_12052000_11772,12052000_12052000_11772,100,
12052000_12052000_11792,12052000_12052000_11792,100,
12052000_12052000_11823,12052000_12052000_11823,100,
12052000_12052000_11836,12052000_12052000_11836,100,
12052000_12052000_11864,12052000_12052000_11864,100,
12052000_12052000_11873,12052000_12052000_11873,100,
12052000_12052000_11879,12052000_12052000_11879,100,
12052000_12052000_11892,12052000_12052000_11892,100,
12052000_12052000_11899,12052000_12052000_11899,100,
12052000_12052000_11910,12052000_12052000_11910,100,
12052000_12052000_11912,12052000_12052000_11912,100,
12052000_12052000_11950,12052000_12052000_11950,100,
12052000_12052000_11959,12052000_12052000_11959,100,
12052000_12052000_1196,12052000_12052000_1196,100,
12052000_12052000_11971,12052000_12052000_11971,100,
12052000_12052000_11977,12052000_12052000_11977,100,
12052000_12052000_12033,12052000_12052000_12033,100,
12052000_12052000_12055,12052000_12052000_12055,100,
12052000_12052000_12149,12052000_12052000_12149,100,
12052000_12052000_12167,12052000_12052000_12167,100,
12052000_12052000_12181,12052000_12052000_12181,100,
12052000_12052000_12193,12052000_12052000_12193,100,
12052000_12052000_12213,12052000_12052000_12213,100,
12052000_12052000_12221,12052000_12052000_12221,100,
12052000_12052000_12235,12052000_12052000_12235,100,
12052000_12052000_12244,12052000_12052000_12244,100,
12052000_12052000_1227,12052000_12052000_1227,100,
12052000_12052000_12282,12052000_12052000_12282,100,
12052000_12052000_123,12052000_12052000_123,100,
12052000_12052000_12335,12052000_12052000_12335,100,
12052000_12052000_12339,12052000_12052000_12339,100,
12052000_12052000_12384,12052000_12052000_12384,100,
